,unique,num,freq,global
289,"PHYSICS, MULTIDISCIPLINARY",26,27,physics
305,"PSYCHOLOGY,   EXPERIMENTAL",26,2,psychology
316,"PSYCHOLOGY, PSYCHOANALYSIS",26,1,psychology
17,ASTRONOMY \& ASTROPHYSICS,25,50,astronomy
23,BIODIVERSITY CONSERVATION,25,7,biodiversity
93,"ENGINEERING,   BIOMEDICAL",25,17,engineering
96,"ENGINEERING,   GEOLOGICAL",25,1,engineering
97,"ENGINEERING,   INDUSTRIAL",25,18,engineering
99,"ENGINEERING,   MECHANICAL",25,28,engineering
141,GERIATRICS \& GERONTOLOGY,25,4,geriatrics
148,HEALTH POLICY \& SERVICES,25,58,health
178,LANGUAGE \&   LINGUISTICS,25,1,language
187,"LITERATURE, BRITISH ISLES",25,1,literature
286,"PHYSICS, CONDENSED MATTER",25,22,physics
294,PLANNING   \& DEVELOPMENT,25,1,planning
295,PLANNING \&   DEVELOPMENT,25,3,planning
311,"PSYCHOLOGY, DEVELOPMENTAL",25,4,psychology
354,STATISTICS \& PROBABILITY,25,6,statistics
3,AGRICULTURAL ENGINEERING,24,17,agronomy
254,OBSTETRICS \& GYNECOLOGY,24,22,obstetrics
274,PHARMACOLOGY \& PHARMACY,24,43,pharmacology
313,"PSYCHOLOGY, EXPERIMENTAL",24,31,psychology
314,"PSYCHOLOGY, MATHEMATICAL",24,2,psychology
32,"CHEMISTRY,   ANALYTICAL",23,16,chemistry
71,CRIMINOLOGY \& PENOLOGY,23,8,criminology
102,"ENGINEERING, BIOMEDICAL",23,159,engineering
109,"ENGINEERING, GEOLOGICAL",23,19,engineering
110,"ENGINEERING, INDUSTRIAL",23,254,engineering
113,"ENGINEERING, MECHANICAL",23,196,engineering
118,ENVIRONMENTAL   STUDIES,23,3,environmental
126,"FILM, RADIO, TELEVISION",23,45,film
177,INTERNATIONAL RELATIONS,23,36,international
179,LANGUAGE \& LINGUISTICS,23,60,language
296,PLANNING \& DEVELOPMENT,23,156,planning
312,"PSYCHOLOGY, EDUCATIONAL",23,20,psychology
318,PUBLIC   ADMINISTRATION,23,8,public
101,"ENGINEERING, AEROSPACE",22,96,engineering
116,"ENGINEERING, PETROLEUM",22,6,engineering
119,ENVIRONMENTAL SCIENCES,22,154,environmental
133,GENETICS \&   HEREDITY,22,1,genetics
72,CRITICAL CARE MEDICINE,22,11,medicine
253,NUTRITION \& DIETETICS,22,15,nutrition
309,"PSYCHOLOGY, BIOLOGICAL",22,2,psychology
8,ANATOMY \& MORPHOLOGY,21,19,anatomy
78,DEVELOPMENTAL BIOLOGY,21,7,biology
33,"CHEMISTRY,   PHYSICAL",21,2,chemistry
34,"CHEMISTRY, ANALYTICAL",21,51,chemistry
103,"ENGINEERING, CHEMICAL",21,27,engineering
120,ENVIRONMENTAL STUDIES,21,86,environmental
185,"LITERATURE,   ROMANCE",21,1,literature
222,MEDICAL   INFORMATICS,21,7,medicine
370,UROLOGY \& NEPHROLOGY,21,30,medicine
288,"PHYSICS, MATHEMATICAL",21,2,physics
319,PUBLIC ADMINISTRATION,21,70,public
371,VETERINARY   SCIENCES,21,2,veterinary
124,EVOLUTIONARY BIOLOGY,20,17,biology
335,REPRODUCTIVE BIOLOGY,20,10,biology
37,"CHEMISTRY, MEDICINAL",20,3,chemistry
134,GENETICS \& HEREDITY,20,23,genetics
186,"LITERATURE, AMERICAN",20,1,literature
218,"MATHEMATICS, APPLIED",20,36,mathematics
307,"PSYCHOLOGY,   SOCIAL",20,1,psychology
310,"PSYCHOLOGY, CLINICAL",20,12,psychology
20,BEHAVIORAL SCIENCES,19,20,behavioral
40,"CHEMISTRY, PHYSICAL",19,15,chemistry
112,"ENGINEERING, MARINE",19,18,engineering
137,"GEOGRAPHY, PHYSICAL",19,121,geography
167,INFECTIOUS DISEASES,19,11,infectious
189,"LITERATURE, ROMANCE",19,4,literature
223,MEDICAL INFORMATICS,19,110,medicine
266,OTORHINOLARYNGOLOGY,19,10,medicine
298,POLITICAL   SCIENCE,19,2,political
302,PRIMARY HEALTH CARE,19,3,health
308,"PSYCHOLOGY, APPLIED",19,31,psychology
372,VETERINARY SCIENCES,19,18,veterinary
35,"CHEMISTRY, APPLIED",18,7,chemistry
39,"CHEMISTRY, ORGANIC",18,1,chemistry
357,TELECOMMUNICATIONS,18,773,communication
87,"EDUCATION, SPECIAL",18,7,education
104,"ENGINEERING, CIVIL",18,163,engineering
115,"ENGINEERING, OCEAN",18,11,engineering
190,"LITERATURE, SLAVIC",18,4,literature
89,EMERGENCY MEDICINE,18,12,medicine
336,RESPIRATORY SYSTEM,18,11,medicine
42,CLINICAL NEUROLOGY,18,29,neurosciences
276,"PHYSICS,   APPLIED",18,10,physics
